IssueKey,IssueType,Summary,Description,Priority,Status,Assignee,Reporter,EpicLink,Sprint,StoryPoints,Labels,Created,DueDate,OriginalEstimate,TimeSpent,Components
FREQ-96,Task,Design UI/UX for Edicao de presenca com justificativa,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-13,2026-02-02,4h,3h,Module-2
FREQ-97,Task,Backend Implementation for Edicao de presenca com justificativa,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-13,2026-02-02,7h,6h,Module-2
FREQ-98,Task,Frontend Web Implementation for Edicao de presenca com justificativa,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-13,2026-02-02,6h,5h,Module-2
FREQ-99,Task,Unit Tests for Edicao de presenca com justificativa,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-13,2026-02-02,3h,3h,Module-2
FREQ-100,Task,Code Review for Edicao de presenca com justificativa,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-13,2026-02-02,4h,3h,Module-2
FREQ-101,Story,Timeout de QR Code,User story: Timeout de QR Code,High,Done,Pedro Almeida,Maria Silva,EPIC-2,Sprint 2,2,sprint-2 epic-2,2026-01-17,2026-02-02,16h,12h,Module-2
FREQ-102,Task,Design UI/UX for Timeout de QR Code,Task: Design UI/UX,High,Done,Juliana Souza,Joao Santos,EPIC-2,Sprint 2,,task design-ui/ux,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-103,Task,Backend Implementation for Timeout de QR Code,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-2,Sprint 2,,task backend-implementation,2026-01-18,2026-02-02,4h,4h,Module-2
FREQ-104,Task,Frontend Web Implementation for Timeout de QR Code,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-2,Sprint 2,,task frontend-web-implementation,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-105,Task,Unit Tests for Timeout de QR Code,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-2,Sprint 2,,task unit-tests,2026-01-18,2026-02-02,2h,2h,Module-2
FREQ-106,Task,Code Review for Timeout de QR Code,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-2,Sprint 2,,task code-review,2026-01-18,2026-02-02,4h,3h,Module-2
FREQ-107,Story,Reconhecimento facial,User story: Reconhecimento facial,Low,To Do,Carlos Mendes,Maria Silva,EPIC-2,Sprint 3,13,sprint-3 epic-2,2026-01-31,2026-02-16,104h,,Module-2
FREQ-108,Task,Design UI/UX for Reconhecimento facial,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-2,Sprint 3,,task design-ui/ux,2026-02-01,2026-02-16,4h,,Module-2
FREQ-109,Task,Backend Implementation for Reconhecimento facial,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-2,Sprint 3,,task backend-implementation,2026-02-01,2026-02-16,31h,,Module-2
FREQ-110,Task,Frontend Web Implementation for Reconhecimento facial,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-2,Sprint 3,,task frontend-web-implementation,2026-02-01,2026-02-16,26h,,Module-2
FREQ-111,Task,Mobile Implementation for Reconhecimento facial,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-2,Sprint 3,,task mobile-implementation,2026-02-01,2026-02-16,26h,,Module-2
FREQ-112,Task,Unit Tests for Reconhecimento facial,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 3,,task unit-tests,2026-02-01,2026-02-16,15h,,Module-2
FREQ-113,Task,E2E Tests for Reconhecimento facial,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-2,Sprint 3,,task e2e-tests,2026-02-01,2026-02-16,15h,,Module-2
FREQ-114,Task,Code Review for Reconhecimento facial,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-2,Sprint 3,,task code-review,2026-02-01,2026-02-16,4h,,Module-2
FREQ-115,Task,Documentation for Reconhecimento facial,Task: Documentation,Low,To Do,Joao Santos,Joao Santos,EPIC-2,Sprint 3,,task documentation,2026-02-01,2026-02-16,8h,,Module-2
FREQ-116,Story,Cadastro de disciplinas,User story: Cadastro de disciplinas,High,To Do,Pedro Almeida,Maria Silva,EPIC-3,Sprint 3,3,sprint-3 epic-3,2026-01-27,2026-02-16,24h,,Module-3
FREQ-117,Task,Design UI/UX for Cadastro de disciplinas,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-28,2026-02-16,4h,,Module-3
FREQ-118,Task,Backend Implementation for Cadastro de disciplinas,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-28,2026-02-16,7h,,Module-3
FREQ-119,Task,Frontend Web Implementation for Cadastro de disciplinas,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-28,2026-02-16,6h,,Module-3
FREQ-120,Task,Unit Tests for Cadastro de disciplinas,Task: Unit Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-28,2026-02-16,3h,,Module-3
FREQ-121,Task,Code Review for Cadastro de disciplinas,Task: Code Review,High,To Do,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-28,2026-02-16,4h,,Module-3
FREQ-122,Story,Cadastro de turmas com horarios,User story: Cadastro de turmas com horarios,High,In Progress,Beatriz Costa,Maria Silva,EPIC-3,Sprint 3,5,sprint-3 epic-3,2026-01-26,2026-02-16,40h,,Module-3
FREQ-123,Task,Design UI/UX for Cadastro de turmas com horarios,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-27,2026-02-16,4h,,Module-3
FREQ-124,Task,Backend Implementation for Cadastro de turmas com horarios,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-27,2026-02-16,12h,,Module-3
FREQ-125,Task,Frontend Web Implementation for Cadastro de turmas com horarios,Task: Frontend Web Implementation,High,Done,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-27,2026-02-16,10h,8h,Module-3
FREQ-126,Task,Mobile Implementation for Cadastro de turmas com horarios,Task: Mobile Implementation,High,Done,Pedro Almeida,Joao Santos,EPIC-3,Sprint 3,,task mobile-implementation,2026-01-27,2026-02-16,10h,8h,Module-3
FREQ-127,Task,Unit Tests for Cadastro de turmas com horarios,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-27,2026-02-16,6h,5h,Module-3
FREQ-128,Task,E2E Tests for Cadastro de turmas com horarios,Task: E2E Tests,High,In Progress,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task e2e-tests,2026-01-27,2026-02-16,6h,,Module-3
FREQ-129,Task,Code Review for Cadastro de turmas com horarios,Task: Code Review,High,To Do,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-27,2026-02-16,4h,,Module-3
FREQ-130,Story,Vincular alunos a turmas,User story: Vincular alunos a turmas,High,In Progress,Pedro Almeida,Maria Silva,EPIC-3,Sprint 3,3,sprint-3 epic-3,2026-01-25,2026-02-16,24h,,Module-3
FREQ-131,Task,Design UI/UX for Vincular alunos a turmas,Task: Design UI/UX,High,In Progress,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-26,2026-02-16,4h,,Module-3
FREQ-132,Task,Backend Implementation for Vincular alunos a turmas,Task: Backend Implementation,High,Done,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-26,2026-02-16,7h,6h,Module-3
FREQ-133,Task,Frontend Web Implementation for Vincular alunos a turmas,Task: Frontend Web Implementation,High,In Progress,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-26,2026-02-16,6h,,Module-3
FREQ-134,Task,Unit Tests for Vincular alunos a turmas,Task: Unit Tests,High,Done,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-26,2026-02-16,3h,3h,Module-3
FREQ-135,Task,Code Review for Vincular alunos a turmas,Task: Code Review,High,Done,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-26,2026-02-16,4h,3h,Module-3
FREQ-136,Story,Vincular professores a disciplinas,User story: Vincular professores a disciplinas,High,To Do,Carlos Mendes,Maria Silva,EPIC-3,Sprint 3,2,sprint-3 epic-3,2026-01-26,2026-02-16,16h,,Module-3
FREQ-137,Task,Design UI/UX for Vincular professores a disciplinas,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-27,2026-02-16,4h,,Module-3
FREQ-138,Task,Backend Implementation for Vincular professores a disciplinas,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-27,2026-02-16,4h,,Module-3
FREQ-139,Task,Frontend Web Implementation for Vincular professores a disciplinas,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-27,2026-02-16,4h,,Module-3
FREQ-140,Task,Unit Tests for Vincular professores a disciplinas,Task: Unit Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-27,2026-02-16,2h,,Module-3
FREQ-141,Task,Code Review for Vincular professores a disciplinas,Task: Code Review,High,To Do,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-27,2026-02-16,4h,,Module-3
FREQ-142,Story,Calendario academico,User story: Calendario academico,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-3,Sprint 3,5,sprint-3 epic-3,2026-01-26,2026-02-16,40h,,Module-3
FREQ-143,Task,Design UI/UX for Calendario academico,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-27,2026-02-16,4h,,Module-3
FREQ-144,Task,Backend Implementation for Calendario academico,Task: Backend Implementation,Medium,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-27,2026-02-16,12h,,Module-3
FREQ-145,Task,Frontend Web Implementation for Calendario academico,Task: Frontend Web Implementation,Medium,To Do,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-27,2026-02-16,10h,,Module-3
FREQ-146,Task,Mobile Implementation for Calendario academico,Task: Mobile Implementation,Medium,To Do,Pedro Almeida,Joao Santos,EPIC-3,Sprint 3,,task mobile-implementation,2026-01-27,2026-02-16,10h,,Module-3
FREQ-147,Task,Unit Tests for Calendario academico,Task: Unit Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-27,2026-02-16,6h,,Module-3
FREQ-148,Task,E2E Tests for Calendario academico,Task: E2E Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task e2e-tests,2026-01-27,2026-02-16,6h,,Module-3
FREQ-149,Task,Code Review for Calendario academico,Task: Code Review,Medium,To Do,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-27,2026-02-16,4h,,Module-3
FREQ-150,Story,Lista de alunos por turma,User story: Lista de alunos por turma,Medium,Done,Beatriz Costa,Maria Silva,EPIC-3,Sprint 3,2,sprint-3 epic-3,2026-01-29,2026-02-16,16h,12h,Module-3
FREQ-151,Task,Design UI/UX for Lista de alunos por turma,Task: Design UI/UX,Medium,Done,Juliana Souza,Joao Santos,EPIC-3,Sprint 3,,task design-ui/ux,2026-01-30,2026-02-16,4h,3h,Module-3
FREQ-152,Task,Backend Implementation for Lista de alunos por turma,Task: Backend Implementation,Medium,Done,Carlos Mendes,Joao Santos,EPIC-3,Sprint 3,,task backend-implementation,2026-01-30,2026-02-16,4h,4h,Module-3
FREQ-153,Task,Frontend Web Implementation for Lista de alunos por turma,Task: Frontend Web Implementation,Medium,Done,Beatriz Costa,Joao Santos,EPIC-3,Sprint 3,,task frontend-web-implementation,2026-01-30,2026-02-16,4h,3h,Module-3
FREQ-154,Task,Unit Tests for Lista de alunos por turma,Task: Unit Tests,Medium,Done,Rafael Lima,Joao Santos,EPIC-3,Sprint 3,,task unit-tests,2026-01-30,2026-02-16,2h,2h,Module-3
FREQ-155,Task,Code Review for Lista de alunos por turma,Task: Code Review,Medium,Done,Ana Oliveira,Joao Santos,EPIC-3,Sprint 3,,task code-review,2026-01-30,2026-02-16,4h,3h,Module-3
FREQ-156,Story,Importacao em lote CSV,User story: Importacao em lote CSV,Low,To Do,Carlos Mendes,Maria Silva,EPIC-3,Sprint 4,5,sprint-4 epic-3,2026-02-14,2026-03-02,40h,,Module-3
FREQ-157,Task,Design UI/UX for Importacao em lote CSV,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-3,Sprint 4,,task design-ui/ux,2026-02-15,2026-03-02,4h,,Module-3
FREQ-158,Task,Backend Implementation for Importacao em lote CSV,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-3,Sprint 4,,task backend-implementation,2026-02-15,2026-03-02,12h,,Module-3
FREQ-159,Task,Frontend Web Implementation for Importacao em lote CSV,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-3,Sprint 4,,task frontend-web-implementation,2026-02-15,2026-03-02,10h,,Module-3
FREQ-160,Task,Mobile Implementation for Importacao em lote CSV,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-3,Sprint 4,,task mobile-implementation,2026-02-15,2026-03-02,10h,,Module-3
FREQ-161,Task,Unit Tests for Importacao em lote CSV,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 4,,task unit-tests,2026-02-15,2026-03-02,6h,,Module-3
FREQ-162,Task,E2E Tests for Importacao em lote CSV,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-3,Sprint 4,,task e2e-tests,2026-02-15,2026-03-02,6h,,Module-3
FREQ-163,Task,Code Review for Importacao em lote CSV,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-3,Sprint 4,,task code-review,2026-02-15,2026-03-02,4h,,Module-3
FREQ-164,Story,Dashboard de frequencia aluno,User story: Dashboard de frequencia aluno,High,To Do,Beatriz Costa,Maria Silva,EPIC-4,Sprint 4,8,sprint-4 epic-4,2026-02-09,2026-03-02,64h,,Module-4
FREQ-165,Task,Design UI/UX for Dashboard de frequencia aluno,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-4,Sprint 4,,task design-ui/ux,2026-02-10,2026-03-02,4h,,Module-4
FREQ-166,Task,Backend Implementation for Dashboard de frequencia aluno,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-4,Sprint 4,,task backend-implementation,2026-02-10,2026-03-02,19h,,Module-4
FREQ-167,Task,Frontend Web Implementation for Dashboard de frequencia aluno,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-4,Sprint 4,,task frontend-web-implementation,2026-02-10,2026-03-02,16h,,Module-4
FREQ-168,Task,Mobile Implementation for Dashboard de frequencia aluno,Task: Mobile Implementation,High,To Do,Pedro Almeida,Joao Santos,EPIC-4,Sprint 4,,task mobile-implementation,2026-02-10,2026-03-02,16h,,Module-4
FREQ-169,Task,Unit Tests for Dashboard de frequencia aluno,Task: Unit Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task unit-tests,2026-02-10,2026-03-02,9h,,Module-4
FREQ-170,Task,E2E Tests for Dashboard de frequencia aluno,Task: E2E Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task e2e-tests,2026-02-10,2026-03-02,9h,,Module-4
FREQ-171,Task,Code Review for Dashboard de frequencia aluno,Task: Code Review,High,To Do,Ana Oliveira,Joao Santos,EPIC-4,Sprint 4,,task code-review,2026-02-10,2026-03-02,4h,,Module-4
FREQ-172,Task,Documentation for Dashboard de frequencia aluno,Task: Documentation,High,To Do,Joao Santos,Joao Santos,EPIC-4,Sprint 4,,task documentation,2026-02-10,2026-03-02,8h,,Module-4
FREQ-173,Story,Dashboard do professor,User story: Dashboard do professor,High,To Do,Beatriz Costa,Maria Silva,EPIC-4,Sprint 4,8,sprint-4 epic-4,2026-02-13,2026-03-02,64h,,Module-4
FREQ-174,Task,Design UI/UX for Dashboard do professor,Task: Design UI/UX,High,To Do,Juliana Souza,Joao Santos,EPIC-4,Sprint 4,,task design-ui/ux,2026-02-14,2026-03-02,4h,,Module-4
FREQ-175,Task,Backend Implementation for Dashboard do professor,Task: Backend Implementation,High,To Do,Carlos Mendes,Joao Santos,EPIC-4,Sprint 4,,task backend-implementation,2026-02-14,2026-03-02,19h,,Module-4
FREQ-176,Task,Frontend Web Implementation for Dashboard do professor,Task: Frontend Web Implementation,High,To Do,Beatriz Costa,Joao Santos,EPIC-4,Sprint 4,,task frontend-web-implementation,2026-02-14,2026-03-02,16h,,Module-4
FREQ-177,Task,Mobile Implementation for Dashboard do professor,Task: Mobile Implementation,High,To Do,Pedro Almeida,Joao Santos,EPIC-4,Sprint 4,,task mobile-implementation,2026-02-14,2026-03-02,16h,,Module-4
FREQ-178,Task,Unit Tests for Dashboard do professor,Task: Unit Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task unit-tests,2026-02-14,2026-03-02,9h,,Module-4
FREQ-179,Task,E2E Tests for Dashboard do professor,Task: E2E Tests,High,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task e2e-tests,2026-02-14,2026-03-02,9h,,Module-4
FREQ-180,Task,Code Review for Dashboard do professor,Task: Code Review,High,To Do,Ana Oliveira,Joao Santos,EPIC-4,Sprint 4,,task code-review,2026-02-14,2026-03-02,4h,,Module-4
FREQ-181,Task,Documentation for Dashboard do professor,Task: Documentation,High,To Do,Joao Santos,Joao Santos,EPIC-4,Sprint 4,,task documentation,2026-02-14,2026-03-02,8h,,Module-4
FREQ-182,Story,Relatorio de faltas por disciplina,User story: Relatorio de faltas por disciplina,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-4,Sprint 4,5,sprint-4 epic-4,2026-02-12,2026-03-02,40h,,Module-4
FREQ-183,Task,Design UI/UX for Relatorio de faltas por disciplina,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-4,Sprint 4,,task design-ui/ux,2026-02-13,2026-03-02,4h,,Module-4
FREQ-184,Task,Backend Implementation for Relatorio de faltas por disciplina,Task: Backend Implementation,Medium,To Do,Carlos Mendes,Joao Santos,EPIC-4,Sprint 4,,task backend-implementation,2026-02-13,2026-03-02,12h,,Module-4
FREQ-185,Task,Frontend Web Implementation for Relatorio de faltas por disciplina,Task: Frontend Web Implementation,Medium,To Do,Beatriz Costa,Joao Santos,EPIC-4,Sprint 4,,task frontend-web-implementation,2026-02-13,2026-03-02,10h,,Module-4
FREQ-186,Task,Mobile Implementation for Relatorio de faltas por disciplina,Task: Mobile Implementation,Medium,To Do,Pedro Almeida,Joao Santos,EPIC-4,Sprint 4,,task mobile-implementation,2026-02-13,2026-03-02,10h,,Module-4
FREQ-187,Task,Unit Tests for Relatorio de faltas por disciplina,Task: Unit Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task unit-tests,2026-02-13,2026-03-02,6h,,Module-4
FREQ-188,Task,E2E Tests for Relatorio de faltas por disciplina,Task: E2E Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task e2e-tests,2026-02-13,2026-03-02,6h,,Module-4
FREQ-189,Task,Code Review for Relatorio de faltas por disciplina,Task: Code Review,Medium,To Do,Ana Oliveira,Joao Santos,EPIC-4,Sprint 4,,task code-review,2026-02-13,2026-03-02,4h,,Module-4
FREQ-190,Story,Graficos de presenca mensal,User story: Graficos de presenca mensal,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-4,Sprint 4,5,sprint-4 epic-4,2026-02-09,2026-03-02,40h,,Module-4
FREQ-191,Task,Design UI/UX for Graficos de presenca mensal,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-4,Sprint 4,,task design-ui/ux,2026-02-10,2026-03-02,4h,,Module-4
FREQ-192,Task,Backend Implementation for Graficos de presenca mensal,Task: Backend Implementation,Medium,To Do,Carlos Mendes,Joao Santos,EPIC-4,Sprint 4,,task backend-implementation,2026-02-10,2026-03-02,12h,,Module-4
FREQ-193,Task,Frontend Web Implementation for Graficos de presenca mensal,Task: Frontend Web Implementation,Medium,To Do,Beatriz Costa,Joao Santos,EPIC-4,Sprint 4,,task frontend-web-implementation,2026-02-10,2026-03-02,10h,,Module-4
FREQ-194,Task,Mobile Implementation for Graficos de presenca mensal,Task: Mobile Implementation,Medium,To Do,Pedro Almeida,Joao Santos,EPIC-4,Sprint 4,,task mobile-implementation,2026-02-10,2026-03-02,10h,,Module-4
FREQ-195,Task,Unit Tests for Graficos de presenca mensal,Task: Unit Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task unit-tests,2026-02-10,2026-03-02,6h,,Module-4
FREQ-196,Task,E2E Tests for Graficos de presenca mensal,Task: E2E Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-4,Sprint 4,,task e2e-tests,2026-02-10,2026-03-02,6h,,Module-4
FREQ-197,Task,Code Review for Graficos de presenca mensal,Task: Code Review,Medium,To Do,Ana Oliveira,Joao Santos,EPIC-4,Sprint 4,,task code-review,2026-02-10,2026-03-02,4h,,Module-4
FREQ-198,Story,Exportar relatorio PDF,User story: Exportar relatorio PDF,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-4,Sprint 4,3,sprint-4 epic-4,2026-02-10,2026-03-02,24h,,Module-4
FREQ-199,Task,Design UI/UX for Exportar relatorio PDF,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-4,Sprint 4,,task design-ui/ux,2026-02-11,2026-03-02,4h,,Module-4
